loc	anim	val	additive	animate	set	animateColor	animateTransform
LineElementX2Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementY1Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementY2Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementCXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementCYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementFXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementFYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementGradientTransformAttribute	TRUE	<transform-list>	TRUE	FALSE	FALSE	FALSE	TRUE
RadialGradientElementGradientTransformAttribute	TRUE	<transform-list>	TRUE	FALSE	FALSE	FALSE	TRUE
LinearGradientElementGradientUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
RadialGradientElementGradientUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
PatternElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
StopElementOffsetAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
PatternElementPatternContentUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
PatternElementPatternTransformAttribute	TRUE	<transform-list>	TRUE	FALSE	FALSE	FALSE	TRUE
PatternElementPatternUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
RadialGradientElementRAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementSpreadMethodAttribute	TRUE	" """"pad | reflect | repeat"""""					
RadialGradientElementSpreadMethodAttribute	TRUE	" """"pad | reflect | repeat"""""					
PatternElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
PatternElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementX1Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementX2Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementY1Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementY2Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
DAttribute	TRUE	" """"path data"""""					
PathLengthAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementDXAttribute	TRUE	<list-of-lengths>	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementDXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementDXAttribute	TRUE	<list-of-lengths>	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementDXAttribute	TRUE	<list-of-lengths>	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementDYAttribute	TRUE	<list-of-lengths>	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementDYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementDYAttribute	TRUE	<list-of-lengths>	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementDYAttribute	TRUE	<list-of-lengths>	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementFormatAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphRefElementFormatAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
AltGlyphElementGlyphRefAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphRefElementGlyphRefAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementLengthAdjustAttribute	TRUE	spacing|spacingAndGlyphs					
TextPathElementMethodAttribute	TRUE	" """"align | stretch"""""					
AltGlyphElementRotateAttribute	TRUE	<list-of-numbers>	FALSE	TRUE	TRUE	FALSE	FALSE
